NIK	Rho	Rac	Cdc42	Ras	GCK	Trafs	Grb2	Shc	Mekk1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1	1	1
0	0	0	0	0	0	1	0	0	1
0	0	0	0	0	0	1	0	1	1
0	0	0	0	0	0	1	1	0	1
0	0	0	0	0	0	1	1	1	1
0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	1	0	0	1	1
0	0	0	0	0	1	0	1	0	1
0	0	0	0	0	1	0	1	1	1
0	0	0	0	0	1	1	0	0	1
0	0	0	0	0	1	1	0	1	1
0	0	0	0	0	1	1	1	0	1
0	0	0	0	0	1	1	1	1	1
0	0	0	0	1	0	0	0	0	1
0	0	0	0	1	0	0	0	1	1
0	0	0	0	1	0	0	1	0	1
0	0	0	0	1	0	0	1	1	1
0	0	0	0	1	0	1	0	0	1
0	0	0	0	1	0	1	0	1	1
0	0	0	0	1	0	1	1	0	1
0	0	0	0	1	0	1	1	1	1
0	0	0	0	1	1	0	0	0	1
0	0	0	0	1	1	0	0	1	1
0	0	0	0	1	1	0	1	0	1
0	0	0	0	1	1	0	1	1	1
0	0	0	0	1	1	1	0	0	1
0	0	0	0	1	1	1	0	1	1
0	0	0	0	1	1	1	1	0	1
0	0	0	0	1	1	1	1	1	1
0	0	0	1	0	0	0	0	0	1
0	0	0	1	0	0	0	0	1	1
0	0	0	1	0	0	0	1	0	1
0	0	0	1	0	0	0	1	1	1
0	0	0	1	0	0	1	0	0	1
0	0	0	1	0	0	1	0	1	1
0	0	0	1	0	0	1	1	0	1
0	0	0	1	0	0	1	1	1	1
0	0	0	1	0	1	0	0	0	1
0	0	0	1	0	1	0	0	1	1
0	0	0	1	0	1	0	1	0	1
0	0	0	1	0	1	0	1	1	1
0	0	0	1	0	1	1	0	0	1
0	0	0	1	0	1	1	0	1	1
0	0	0	1	0	1	1	1	0	1
0	0	0	1	0	1	1	1	1	1
0	0	0	1	1	0	0	0	0	1
0	0	0	1	1	0	0	0	1	1
0	0	0	1	1	0	0	1	0	1
0	0	0	1	1	0	0	1	1	1
0	0	0	1	1	0	1	0	0	1
0	0	0	1	1	0	1	0	1	1
0	0	0	1	1	0	1	1	0	1
0	0	0	1	1	0	1	1	1	1
0	0	0	1	1	1	0	0	0	1
0	0	0	1	1	1	0	0	1	1
0	0	0	1	1	1	0	1	0	1
0	0	0	1	1	1	0	1	1	1
0	0	0	1	1	1	1	0	0	1
0	0	0	1	1	1	1	0	1	1
0	0	0	1	1	1	1	1	0	1
0	0	0	1	1	1	1	1	1	1
0	0	1	0	0	0	0	0	0	1
0	0	1	0	0	0	0	0	1	1
0	0	1	0	0	0	0	1	0	1
0	0	1	0	0	0	0	1	1	1
0	0	1	0	0	0	1	0	0	1
0	0	1	0	0	0	1	0	1	1
0	0	1	0	0	0	1	1	0	1
0	0	1	0	0	0	1	1	1	1
0	0	1	0	0	1	0	0	0	1
0	0	1	0	0	1	0	0	1	1
0	0	1	0	0	1	0	1	0	1
0	0	1	0	0	1	0	1	1	1
0	0	1	0	0	1	1	0	0	1
0	0	1	0	0	1	1	0	1	1
0	0	1	0	0	1	1	1	0	1
0	0	1	0	0	1	1	1	1	1
0	0	1	0	1	0	0	0	0	1
0	0	1	0	1	0	0	0	1	1
0	0	1	0	1	0	0	1	0	1
0	0	1	0	1	0	0	1	1	1
0	0	1	0	1	0	1	0	0	1
0	0	1	0	1	0	1	0	1	1
0	0	1	0	1	0	1	1	0	1
0	0	1	0	1	0	1	1	1	1
0	0	1	0	1	1	0	0	0	1
0	0	1	0	1	1	0	0	1	1
0	0	1	0	1	1	0	1	0	1
0	0	1	0	1	1	0	1	1	1
0	0	1	0	1	1	1	0	0	1
0	0	1	0	1	1	1	0	1	1
0	0	1	0	1	1	1	1	0	1
0	0	1	0	1	1	1	1	1	1
0	0	1	1	0	0	0	0	0	1
0	0	1	1	0	0	0	0	1	1
0	0	1	1	0	0	0	1	0	1
0	0	1	1	0	0	0	1	1	1
0	0	1	1	0	0	1	0	0	1
0	0	1	1	0	0	1	0	1	1
0	0	1	1	0	0	1	1	0	1
0	0	1	1	0	0	1	1	1	1
0	0	1	1	0	1	0	0	0	1
0	0	1	1	0	1	0	0	1	1
0	0	1	1	0	1	0	1	0	1
0	0	1	1	0	1	0	1	1	1
0	0	1	1	0	1	1	0	0	1
0	0	1	1	0	1	1	0	1	1
0	0	1	1	0	1	1	1	0	1
0	0	1	1	0	1	1	1	1	1
0	0	1	1	1	0	0	0	0	1
0	0	1	1	1	0	0	0	1	1
0	0	1	1	1	0	0	1	0	1
0	0	1	1	1	0	0	1	1	1
0	0	1	1	1	0	1	0	0	1
0	0	1	1	1	0	1	0	1	1
0	0	1	1	1	0	1	1	0	1
0	0	1	1	1	0	1	1	1	1
0	0	1	1	1	1	0	0	0	1
0	0	1	1	1	1	0	0	1	1
0	0	1	1	1	1	0	1	0	1
0	0	1	1	1	1	0	1	1	1
0	0	1	1	1	1	1	0	0	1
0	0	1	1	1	1	1	0	1	1
0	0	1	1	1	1	1	1	0	1
0	0	1	1	1	1	1	1	1	1
0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	1	1
0	1	0	0	0	0	0	1	0	1
0	1	0	0	0	0	0	1	1	1
0	1	0	0	0	0	1	0	0	1
0	1	0	0	0	0	1	0	1	1
0	1	0	0	0	0	1	1	0	1
0	1	0	0	0	0	1	1	1	1
0	1	0	0	0	1	0	0	0	1
0	1	0	0	0	1	0	0	1	1
0	1	0	0	0	1	0	1	0	1
0	1	0	0	0	1	0	1	1	1
0	1	0	0	0	1	1	0	0	1
0	1	0	0	0	1	1	0	1	1
0	1	0	0	0	1	1	1	0	1
0	1	0	0	0	1	1	1	1	1
0	1	0	0	1	0	0	0	0	1
0	1	0	0	1	0	0	0	1	1
0	1	0	0	1	0	0	1	0	1
0	1	0	0	1	0	0	1	1	1
0	1	0	0	1	0	1	0	0	1
0	1	0	0	1	0	1	0	1	1
0	1	0	0	1	0	1	1	0	1
0	1	0	0	1	0	1	1	1	1
0	1	0	0	1	1	0	0	0	1
